"","exp_id","condition","trial","stripe","dot","block","gt","alt"
"1",1,"combine",1,0,0,3,0,0
"2",1,"combine",2,0,2,1,0,0
"3",1,"combine",3,2,1,3,5,4
"4",1,"combine",4,2,3,3,3,0
"5",1,"combine",5,3,2,3,7,3
"6",1,"combine",6,3,4,2,2,0
"7",1,"combine",7,4,0,3,12,12
"8",1,"combine",8,4,4,4,12,0
"9",1,"construct",1,0,0,3,0,0
"10",1,"construct",2,0,2,1,0,0
"11",1,"construct",3,2,1,3,5,4
"12",1,"construct",4,2,3,3,3,0
"13",1,"construct",5,3,2,3,7,3
"14",1,"construct",6,3,4,2,2,0
"15",1,"construct",7,4,0,3,12,12
"16",1,"construct",8,4,4,4,12,0
"17",1,"decon",1,0,0,3,0,0
"18",1,"decon",2,0,2,1,0,0
"19",1,"decon",3,2,1,3,5,4
"20",1,"decon",4,2,3,3,3,0
"21",1,"decon",5,3,2,3,7,3
"22",1,"decon",6,3,4,2,2,0
"23",1,"decon",7,4,0,3,12,12
"24",1,"decon",8,4,4,4,12,0
"25",2,"combine",1,0,0,3,0,0
"26",2,"combine",2,2,0,1,0,0
"27",2,"combine",3,1,2,3,5,4
"28",2,"combine",4,3,2,3,3,0
"29",2,"combine",5,2,3,3,7,3
"30",2,"combine",6,4,3,2,2,0
"31",2,"combine",7,0,4,3,12,12
"32",2,"combine",8,4,4,4,12,0
"33",2,"construct",1,0,0,3,0,0
"34",2,"construct",2,2,0,1,0,0
"35",2,"construct",3,1,2,3,5,4
"36",2,"construct",4,3,2,3,3,0
"37",2,"construct",5,2,3,3,7,3
"38",2,"construct",6,4,3,2,2,0
"39",2,"construct",7,0,4,3,12,12
"40",2,"construct",8,4,4,4,12,0
"41",2,"decon",1,0,0,3,0,0
"42",2,"decon",2,2,0,1,0,0
"43",2,"decon",3,1,2,3,5,4
"44",2,"decon",4,3,2,3,3,0
"45",2,"decon",5,2,3,3,7,3
"46",2,"decon",6,4,3,2,2,0
"47",2,"decon",7,0,4,3,12,12
"48",2,"decon",8,4,4,4,12,0
"49",3,"combine",1,0,0,3,0,0
"50",3,"combine",2,0,2,1,0,0
"51",3,"combine",3,2,1,3,5,4
"52",3,"combine",4,2,3,3,3,0
"53",3,"combine",5,3,2,3,7,3
"54",3,"combine",6,3,4,2,2,0
"55",3,"combine",7,4,0,3,12,12
"56",3,"combine",8,4,4,4,12,0
"57",3,"flip",1,0,0,3,0,0
"58",3,"flip",2,0,2,1,0,0
"59",3,"flip",3,2,1,3,5,4
"60",3,"flip",4,2,3,3,3,0
"61",3,"flip",5,3,2,3,7,3
"62",3,"flip",6,3,4,2,2,0
"63",3,"flip",7,4,0,3,12,12
"64",3,"flip",8,4,4,4,12,0
"65",4,"combine",1,0,0,3,0,0
"66",4,"combine",2,2,0,1,0,0
"67",4,"combine",3,1,2,3,5,4
"68",4,"combine",4,3,2,3,3,0
"69",4,"combine",5,2,3,3,7,3
"70",4,"combine",6,4,3,2,2,0
"71",4,"combine",7,0,4,3,12,12
"72",4,"combine",8,4,4,4,12,0
"73",4,"flip",1,0,0,3,0,0
"74",4,"flip",2,2,0,1,0,0
"75",4,"flip",3,1,2,3,5,4
"76",4,"flip",4,3,2,3,3,0
"77",4,"flip",5,2,3,3,7,3
"78",4,"flip",6,4,3,2,2,0
"79",4,"flip",7,0,4,3,12,12
"80",4,"flip",8,4,4,4,12,0
