"","condition","batch","trial","stripe","dot","block","result_block"
"1","combine","A",1,0,1,3,3
"2","combine","A",2,0,2,2,4
"3","combine","A",3,0,3,1,3
"4","combine","B",4,1,1,3,2
"5","combine","B",5,2,1,3,1
"6","combine","B",6,3,1,3,0
"7","flip","A",1,1,1,3,2
"8","flip","A",2,2,1,3,1
"9","flip","A",3,3,1,3,0
"10","flip","B",4,0,1,3,3
"11","flip","B",5,0,2,2,4
"12","flip","B",6,0,3,1,3
"13","mult","gen",1,0,0,3,0
"14","mult","gen",2,0,4,3,0
"15","mult","gen",3,1,2,3,0
"16","mult","gen",4,2,0,1,0
"17","mult","gen",5,2,3,3,0
"18","mult","gen",6,3,2,3,0
"19","mult","gen",7,4,3,2,0
"20","mult","gen",8,4,4,4,0
"21","sub","gen",1,0,0,3,0
"22","sub","gen",2,0,4,3,0
"23","sub","gen",3,1,2,3,0
"24","sub","gen",4,2,0,1,0
"25","sub","gen",5,2,3,3,0
"26","sub","gen",6,3,2,3,0
"27","sub","gen",7,4,3,2,0
"28","sub","gen",8,4,4,4,0
