,pair_index,agent,recipient,EIG
0,94,"Stone(S4,O3,L1)","Stone(S0,O0,L3)",1.4090945985070287
1,82,"Stone(S4,O0,L1)","Stone(S0,O0,L3)",1.4621018758636917
2,25,"Stone(S1,O1,L1)","Stone(S0,O0,L2)",1.1480297702278128
3,88,"Stone(S4,O2,L1)","Stone(S0,O0,L1)",0.9649934593568619
4,37,"Stone(S1,O4,L1)","Stone(S0,O0,L2)",0.8409702319139114
5,38,"Stone(S1,O4,L1)","Stone(S0,O0,L3)",0.7275439953617522
6,39,"Stone(S1,O4,L1)","Stone(S0,O0,L4)",0.6601288746768558
7,23,"Stone(S1,O0,L1)","Stone(S0,O0,L4)",0.5775328261314221
8,19,"Stone(S0,O4,L1)","Stone(S0,O0,L4)",0.5490515709997056
9,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)",0.5055009572558581
10,21,"Stone(S1,O0,L1)","Stone(S0,O0,L2)",0.48879991947162316
11,96,"Stone(S4,O4,L1)","Stone(S0,O0,L1)",0.42335614757798784
12,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)",0.394216603556276
13,10,"Stone(S0,O2,L1)","Stone(S0,O0,L3)",0.3804887741359934
14,58,"Stone(S2,O4,L1)","Stone(S0,O0,L3)",0.35796577772234534
15,44,"Stone(S2,O1,L1)","Stone(S0,O0,L1)",0.33775319173302537
16,83,"Stone(S4,O0,L1)","Stone(S0,O0,L4)",0.30297347060471985
17,81,"Stone(S4,O0,L1)","Stone(S0,O0,L2)",0.28646611755797374
18,54,"Stone(S2,O3,L1)","Stone(S0,O0,L3)",0.27208106800355764
19,17,"Stone(S0,O4,L1)","Stone(S0,O0,L2)",0.25722320209010435
